description,patient
Sound/vision operator NOS,16
General manager - theatre,16
Water and sewage processor,16
Silversmith,16
Smith/forger,16
Officer - ship,16
Electrical engineer - trainee,16
Army - non-commissioned personnel,16
Non-commissioned officer,16
Secretary - trade association,16
Concrete erector/assembler,16
Sociologist,16
Coach/vehicle body finisher,16
Radiotherapist,16
(Agric machine ops) or (driver: [farm mac,16
Marine engineer - Royal Navy,16
Food processor - freezer,16
Quarrying engineer,16
Charge nurse,16
Radio operator,16
Inspector R.S.P.C.A.,16
Programme writer,16
Orthodontist,16
Registrar - education,16
Fair ground attendant,16
Repairer,16
Dermatologist,16
Tool setter,16
Estate ranger,16
Ships agent,16
Local government- top (& managers),16
General physician,16
Product viewer/checker,16
Lactation consultant,17
Investment clerk,17
Foreman - agriculture NOS,17
"Ear, nose and throat surgeon",17
Musical instrument maker,17
Occupational therapist allocated to,17
"Engineering technician, aircraft electric",17
Flight engineer,17
Unqualified nursing staff,17
Medical ophthalmologist,17
Medical officer,17
Bus conductor,17
County court bailiff,17
Seaman - Royal Navy,17
Product inspector/grader NOS,17
Foreman: packaging/labelling,17
Occupational physician,17
Patrolman,17
Clay/stone worker NOS,17
Profession allied to medicine,17
Machine presser - garments,17
Ship masters/officers/pilots,17
Wood sawyer,17
Electric meter fixer,17
Diabetic nurse,17
Female prostitute,17
Railway shunter,17
Educational welfare officer,17
Associate general practitioner,17
Vocational training trainee,17
Stockbroker's clerk,18
Canteen manager,18
Small employers and own account workers,18
Supervisor:computer operatives,18
Wholesale sales rep. NOS,18
Statistical clerk,18
Sorter - product,18
Sound equipment operator,18
Chemical scientist manager,18
Metal plate worker,18
Chief air steward,18
Church caretaker,18
(Hairdresser(s) &/or beauticians) or (bar,18
Min/quarry/well drill (& [miners (& [coal,18
Textile finisher,18
Community education officer,18
Foreman: makers/repairers NOS,18
Records/library clerk NOS,18
Paediatric cardiologist,18
Intermediate occupations,18
Quantity surveyor assistant,18
Photographer &/or cameramen,18
Active serving member of the Army Reserve,18
Food processor - cooker,18
Nurse education director,18
Foreman -food/drink processors,18
Office machine operator NOS,18
Approved social worker under the MHA 1983,18
Private detective,18
Road sweeper driver,18
Television aerial erector,19
Tyre builder,19
Social scientist NOS,19
Boot/shoe repairer,19
Work study specialist,19
Occupational therapy helper,19
(Flight deck officers [& aircraft]) or (a,19
Piano tuner,19
Ticket-issuing clerk,19
Entertainment hall attendant,19
Transport schedule manager,19
Furnaceman,19
Agriculture machine op. NOS,19
Ship skipper,19
Stockman - pigs,19
Student pharmacy technician - RAF,19
Clothing pattern cutter,19
Body finisher - vehicle,19
Laboratory technician - equipment operati,19
Community paediatrician,20
Play leader,20
Chemical/gas/petroleum processor NOS,20
Road transport manager,20
Bus inspector,20
Gravedigger,20
Steel bender/fixer,20
Instrument mechanic,20
(Metal worker (& fitt): [named variants]),20
Manager - theatre/concert hall,20
Royal Marines personnel,20
Dry cleaner - general,20
Driving examiner,20
Manager - poultry farm,20
VDU operator,20
RAF officer,20
Trainee engineer,20
Hospital manager,20
Securities clerk,20
Press/stamping machine operator,20
Astronomer,20
Nuclear physicist,20
Protective services supervisor,20
Textile material worker NOS,20
Royal Navy officer,20
Trainee buyer,20
Manager - loading/unloading,21
Paper worker,21
Forest ranger,21
Boatman,21
Sewerman,21
Inspector - product,21
Consultancy/advice chemist,21
Road patrolman,21
Processor(s): [chem] &/or [gas] &/or [pet,21
Design copyist,21
Economists/statisticians/actuaries,21
Mechanical engineer - liaison,21
Firefighter - RAF,21
Metal fettler/dresser/grinder,21
Artists &/or sculptors,21
Repetitive assembler - metal,21
Air traffic control officer,21
Supervisor - fire service,21
Medical practitioner - teaching,22
Textile processor NOS,22
Other premises attendants,22
(Domestic: [housekeeper]/[helpers/maids]),22
Farming/fishing manager,22
Ambulatory paediatrician,22
Fish preparer,22
Child and adolescent psychiatrist,22
Vehicle wash plant worker,22
Other labourers/general hands (& [laboure,22
Agricultural scientist,22
Trainee catering supervisor,22
Further education principal,22
Private physiotherapist,22
Plastic surgeon,22
Launderer - general,22
Station manager - airline,22
Work study officer,22
Community-based dietitian,22
Natural scientist NOS,22
Neonatal nurse,22
Infection control nurse,22
Inspector of schools,22
Nursing officer - district,22
Fixer/walling mason,23
Theatre manager,23
Ambulance station superintendent,23
Flour confectioner,23
Building society branch manager,23
Domestic animal attendant,23
Laboratory technician - biology,23
Driller,23
Video tape recorder operator,23
Neurologist,23
Schedules clerk - transport,23
Marine surveyor,23
Active serving member of the Army,23
Planning inspector,23
"Manager, electricity: [production] or [su",23
Active duty military,23
Machine moulder/coremaker,23
Trainer - performing animals,23
Paper and board processor,23
Technical service advisor - electrical en,23
Nursing team leader,23
Supervisor: record clerks,23
Agency nurse,23
Metal processor/treater NOS,23
Concrete/cement maker,23
Pottery worker,23
Librarian/information officer,23
Hospital-based dietitian,23
General surgeon,24
Foreman - printing,24
Pipe/sheet/structural metal worker,24
Personnel trainee,24
Food dispenser - table service,24
Teacher: [private] or [others/instructors,24
Stone cutter,24
Linesman - electric,24
Specialist social worker,24
Stage manager - theatre,24
Trainee manager NOS,24
Lighthouse keeper,24
Tax specialist,24
Leader - social group work,24
Industrial pharmacist,24
Site agent/engineer,24
Student environmental health technician -,24
Physiotherapy helper,24
Nuclear engineer,24
Choreographer,24
Ship engineer officer,24
Advertising/public relations NOS,24
Radio/t.v. fitter/mechanic,24
Fixer,24
Fixer - steel,24
(Organis study/work study specialist) or,24
Sport trainee,24
Theatrical agent,25
Trainee shop manager,25
Monitor (radio broadcasts),25
Ophthalmic surgeon,25
Supervisor - hairdressers,25
Travel steward/attendant NOS,25
Personnel administrator - RAF,25
Shoe maker,25
Marketing &/or sales executive(s),25
Insurance/tax specialist NOS,25
Manicurist,25
Manager - general recreation,25
Intensive therapy nurse,25
Clothes maker,25
Airport manager,25
General maid,25
Foreman: fitters/mechanics,25
Civil engineer - research,25
Foreman: engineering machining,25
Driver - light goods (& [vehicle],26
Administrative officer education - RAF,26
Doctor approved by Secretary of State sec,26
Aircraft flight deck officer,26
Foreman: product assembly,26
"Aircraft eng technician, airframes & prop",26
Transport employee on PSV,26
Shipbroker,26
Repetitive assembler -electric,26
Zoologist,26
Glass worker NOS,26
Oral surgeon,26
Meat cutter,26
Sound recordist,26
Technical healthcare occupation,26
Miner - excl. coal,26
Manicurist/pedicurist,26
Parking/toll fee collector,26
Helicopter pilot,26
Land agent,27
Supervisor: clerks NOS,27
Manager - cultural facilities,27
Rubber tyre builder,27
Commodity broker,27
Medical/dental technicians NOS,27
Boiler operator,27
Dental practitioner - teaching,27
Social scientist,27
Clay/stone worker,27
Film cameraman,27
Foreman - farm workers,27
Product sorter/grader,27
Wine waiter,27
Valuer,27
Pharmacologist,27
Property master,27
Typesetter,27
Healthcare professional grade,27
Animal keeping manager,27
Nursing administrator - professional body,27
Carpenter/joiner - ship,27
Flying instructor,27
Industrial relations officer,27
Companion,28
(Paper/board proc) or (reelerman paper et,28
Packer - chemicals/drugs,28
Clinical physiologist,28
Housing inspector,28
Station manager - railway,28
Quarryer,28
Trainee optician,28
Builder's mate,28
Display artist,28
Secretarial supervisor,28
Electrical engineering technical assistan,28
Electrical production fitter NOS,28
Animal laboratory technician,28
Fisherman NOS,28
Fitter's mate,28
Printing/photographic processor NOS,28
Insurance agent - property,28
Supervisor: travel clerks,29
GP-based physiotherapist,29
Gynaecologist,29
Launderers/dry cleaners,29
Organisation study specialist,29
Metal polisher,29
Instrumentation engineer,29
Marine engineer (non-commissioned) - Roya,29
Traffic engineer,29
Manager unlicensed hotel/club,29
Bus &/or coach driver,29
Wholesale distribution manager NOS,29
Metal processor/treater,30
Mobile shop/van salesman,30
Ships plater/shipwright,30
Diver/frogman,30
Senior house officer,30
Electric/electronic linesman,30
Telephonist - public exchange,30
Bingo caller,30
Trainee cook,30
Glasshouse worker,30
Production superintendent,30
Textile dyer,30
Matron - nursery,30
Tax office manager,30
Optical glass worker,30
Metal-work production fitter,30
Supervisor: mail/parcel op.,30
Operations support manager - RAF,31
Shipment/travel clerk NOS,31
Library clerk,31
Sex worker,31
Works foreman,31
Geneticist,31
Paediatric audiologist,31
Paediatric dietitian,31
Objectives analyst manager,31
Park keeper,31
Kitchen porter/hand NOS,31
Foremen - caretaking/cleaning,31
General practitioner assistant,31
Launderette assistant,31
Hospital-based physiotherapist,31
Engineering estimator,31
Meteorologist,31
Telephone exchange manager,31
Teaching principal,31
Cable jointer,31
Stage manager,31
Supervisor: insurance clerks,31
Maid,32
Higher managerial and professional occupa,32
Railway employee not on train,32
Fire prevention officer,32
Marie Curie nurse,32
Organisation/methods officer,32
Architectural draughtsman,32
Teacher training teacher NOS,32
Shorthand typist,32
Dental consultant,32
Local government top manager NOS,32
Office/cleaning sales rep.,32
Local government chief executive,32
Aircraft finisher,32
Metal: [proc/treat][coremake][make/treat],33
Civil engineering technician,33
(Perf(s) entertainm (& [music]) or (actor,33
Nurse - teaching,33
(Painters &/or coaters) or (decorator),33
Radio telephone operator,33
Pipe/sheet metal labourer,33
(Textile material workers) or (clothes ma,33
Power station worker,33
Sports manager,33
Prison governor,33
Copy typist,33
Management accountant - Adjutant General',33
(Biological scientists &/or biochemists),33
(Finance &/or investment specialists) or,33
Town planner/architect NOS,33
Stationman - railway,34
Technical controller - installation,34
Officer - armed forces,34
Construction/mining NOS,34
Butler,34
Wholesale field sales superintendent,34
Electrical engineer - research/developmen,34
Metallurgist,34
Behaviour therapist,34
Routine clerk,34
(Manager warehous &/or stock [control]) o,34
Track maintenance worker,34
Engineer: [computer] or [general/other NO,34
Telephonist-private exchange,34
Teacher trainer (& [teachers]),35
Litigation clerk,35
Nurse grade,35
Electrical mechanic,35
Manager - small works,35
(Architects) or (town planners/architects,35
Aircrew,35
Coach/vehicle body builder,35
Supervisor:cost/account clerks,35
Bookbinder,35
Coach builder,35
Dry cleaner,35
Rail transport NOS,35
Window dresser,35
Headmistress,36
Painter/coater NOS,36
Photographic processor,36
Chaplain,36
Property sales rep. NOS,36
Water supply manager,36
Tractor driver,36
National government top manager,36
Professional boxer,36
Transport manager NOS,36
Table clearer - catering,37
Machine tool setter,37
Touring manager -entertainment,37
Town clerk,37
Biological science manager,37
Registrar,37
Artist/sculptor NOS,37
Trainee estate agent,37
Speech and language assistant,37
Student radiographer - RAF,37
Sports centre manager,37
General practitioner principal,37
Aero-engine fitter/mechanic,37
Managers-warehousing/stock NOS,37
(Top business men (& manager)) or (compan,37
Purchasing officer/buyer NOS,38
Monumental mason,38
Nurse administrator - national,38
Cinema manager,38
Palliative care nurse,38
Cardiologist,38
Head waiter,38
Producer - theatre/artistic,38
Pharmaceutical officer H.A.,38
Other farmers/fishers,38
Textile technologist,38
Blacksmith - occupation,38
Catering manager NOS,39
Dental administrator,39
Director of education,39
Technical service advisor - mechanical en,39
Wholesale distribution manager,39
Heavy labourer,39
Stocktaker,39
Private teacher,39
Chemical scientist NOS,39
Publicity writer,39
ECG technician,39
Trading standards officer,39
Research nurse,39
Metal/electrical worker NOS,39
Materials planner,39
Laundry roundsman,39
Draughtsman NOS,40
Housing/planning inspector,40
Glass cutter,40
(Hovercraft officer) or (other science/en,40
Learning disabilities nurse,40
Electrical engineer - applications,40
Metal production fitting,40
Personnel/indust.relat. NOS,40
Mental welfare officer,40
Responsible medical officer,40
Water transport occupation,40
Washer-up,40
Boot/shoe maker,40
Clinical medical officer,40
Geological scientist,41
Fire officer NOS,41
General practitioner locum,41
Advocate - legal,41
Glass fibre laminator,41
Special educational needs coordinator,41
Remedial therapist NOS,41
Projectionist,41
Other property attendants NOS,41
Advertisement manager,41
Chemical engineer - general,41
Roundsman,41
Product inspectors/graders,41
"Officer, armed forces NOS",41
Horticultural manager,41
Slaughterman,41
Productive executive,41
Textile weaver,42
Production/materials clerk NOS,42
Knitter,42
Pay-out clerk,42
Street trader NOS,42
Goldsmith,42
Electrical engineer - consultancy/advice,42
Sports: [prof occupats] / [coach] / [mana,42
Data analyst - RAF,42
Judge,42
Snack bar manager,42
Conveyancing clerk,42
Technical writer,42
Routine occupations,42
Psychiatric social worker,42
Hospital ward orderly,43
Chemical/gas/petrol processor,43
Manager - public utilities NOS,43
Trainee policeman,43
Value analyst,44
Asphalt/bitumen road surfacer,44
Plastic worker,44
Musical composer NOS,44
Computer trainee,44
Officer of the court,45
Catering &/or personal services,45
Director - entertainment,45
Personnel &/or industrial relations (& [o,45
Mechanical engineer - research/developmen,45
Teacher: [blind]/[deaf]/ [handicap]/[spec,46
Chemical processor,46
Welfare officer - elderly,46
Audiology technician,46
Industrial design manager,46
Filing clerk,46
Medical social worker,46
Product inspector/tester,46
Educational psychologist,46
Nursing sister (theatre),46
Shepherd,46
Maker,46
Air traffic controller,46
Stockman,46
Technical sales representative NOS,46
Clinical assistant,46
Medical attendants/orderlies,46
Biological scientists &/or biochemists,47
Outreach nurse,47
Railman,47
Mathematician,47
Repetitive assembler NOS,47
Goods porter,47
Customs officer,47
Trainee manager,47
General practitioner registrar,47
Trainee architect,47
Diver,47
Television cameraman,48
Civil engineer - consultancy/advice,48
Purchasing officer,48
Purchasing clerk,48
Farrier,49
Manager - department store,49
Bank: [cashier] or [clerk],49
Installer - electrical,49
Historian,49
University teacher,49
Advertising clerk,50
Betting counter clerk,50
Barrister's clerk,50
Property/estate manager NOS,50
(Transp manager (&[air][rail][road][sea]),50
Auctioneer,50
Shelf filler,50
Hostel warden,50
Chairman of company board,50
Social services personnel,51
Remedial therapist,51
Mechanical engineer - consultancy/advice,51
Travel office manager,51
Food dispenser,51
Physio/occup/speech therapists,51
Hospital midwife,51
Railway guard,51
Face-trained coal miner,51
"Statistical analyst, automatic data proce",51
Customs and excise officer,52
Teaching principal NOS,52
Other technical assistants NOS,52
Mail/message distributor NOS,52
Barman - cocktail bar,52
Obstetrician and gynaecologist,53
Brewer,53
Porter NOS,53
Sculptor,53
Geophysicist,53
Planning engineer,53
Building society counter cashier,53
Entertainment/sports manager,53
Pre-primary teacher NOS,53
Wood fitter,53
Film editor,54
Mail/message distributor,54
Building inspector,54
French polisher,54
Laboratory technician - analysis,54
Research survey clerk,54
Accident and emergency nurse,54
Mechanical engineer - applications,54
Inspector of factories,54
Farm worker - arable,54
Other natural scientists,55
Cash handling clerk NOS,55
Other practice health professional,55
Welfare officer,55
Car park attendant,55
Engineers: [civil &/or structural] or [mu,55
Engineering draughtsman,55
Career guidance NOS,56
Community paediatric nurse,56
"Electrical engineering technician, teleco",56
Technical illustrator,56
Mental health counsellor,56
Press machine operator,56
Professional sports occupation NOS,56
Horticulture worker NOS,56
Traffic manager,56
Set designer - theatre/t.v.,56
Road sweeper,56
Wholesale buyer,56
Electronics production fitter,56
Public service vehicle driver,57
"Supervisor, housekeeping NOS",57
Estimator/valuer/assessor NOS,57
Aircraft engineering technician - RAF,57
Farm worker - mixed farming,57
General foreman (construction),57
Complementary health worker,57
Record keeping/library clerk,57
Town planners/architects,58
Physiologist,58
Nurse manager,58
(Printing (& cylinder prep) &/or photogra,58
Laboratory technician - chemistry,58
Security &/or protective services,58
Cameraman,58
Engineer maint.manager NOS,59
Printing/photographic processor,59
Military personnel,59
Art director (films),59
Telephone/radio/mail supervisor,59
Nursing sister,59
Transporting &/or moving &/or storing (&,59
Fish fryer,60
Operating theatre attendant,60
Public health officer,60
Funeral director's assistant,60
(Construction managers) or (site agent/en,60
Other performing/arts NOS,60
Cash collector,60
Packager/labeller NOS,60
Sales demonstrators,61
Assistant psychologist,61
Orthoptist,61
Demolisher,61
Physical scientist,61
Club steward,61
Planning clerk,61
Principal prison officer,62
Oil well engineer,62
Welfare manager,62
Shipment/travel arrange clerk,62
Laundry/dry cleaning manager,62
(Top managers business)(business top men),62
Departmental manager - store,62
Author/writer/journalist NOS,62
Macmillan nurse,62
Nursing officer,62
Vocational training manager,63
Office manager - transport,63
Technical service advisor NOS,63
Army officer,63
Work measurement engineer,63
Cost clerk,63
Community-based physiotherapist,63
Other electrical mechanic,64
Vocational trainer NOS,64
Engineers: [production] or [planning] or,64
Welder - unskilled,64
Supervisor: office machine operator,64
General physicist,64
Personal services occupation,65
Operational research officer,65
Hospital specialist,65
Print processor,65
Civil engineering labourer,65
Employment agency manager,65
Matron (old people's home),65
Fitter - metal,65
Solicitor's managing clerk,65
Advertising account executive,65
Insurance broker's clerk,66
Steel rigger,66
Therapeutic radiographer,66
Wood worker NOS,66
Other protective service NOS,66
Freight clerk,66
Eng.maintenance manager,66
Dispatch clerk,66
Animal health occupations NOS,66
Street stall salesman,66
Control clerk -data processing,67
Graduate (& [occupation]),67
Medical/dental technicians,67
Other mover/storer NOS,67
General technical assistant NOS,67
Cost accountant,67
Entertainment manager,67
Mechanical engineering technical assistan,67
Transport operating manager,67
Orthopaedic surgeon,67
Medical radiographer NOS,68
Pathologist,68
Head cook,68
Packer - laundry,68
General roadsman,68
Production engineer NOS,68
Royal Navy personnel,68
Care of the elderly nurse,68
Aircraft maintenance manager,68
Pest control officer,68
Company secretary NOS,68
Vocational training instructor,69
Audio typist,69
Metal engineering machiner NOS,69
(Food &/or drink processors) or (baker),69
Food processor NOS,69
Supervisor: general clerks,69
Private doctor,69
Occupational health nurse,69
Archivist,70
Office manager - records,70
Religious occupation NOS,70
Steward,70
Building assistant,70
Deputising general practitioner,71
"Personnel administrator, automatic data p",71
Assembler(s) (& [product] or [repetitive],71
Aeronautical engineer NOS,71
Poultryman,71
Stone worker,71
Estate manager,72
RAF personnel,72
Student dental technician - RAF,72
(Works &/or production manager(s)) or (wo,72
Foreman NOS,72
Private nurse,72
Editor - radio or television programmes,72
Armed forces reservist,73
Public health physician,73
Civil engineer equipment work,73
(Lit occup) or (authors/writers/journalis,73
Machine tool setter operator,73
Refrigeration engineer,73
Press/machine tool setter,73
Construction manager NOS,73
Secretary-charity organisation,73
Gardeners &/or groundsmen,73
Gardener - public gardens,73
Advertising copy writer,73
Other farmer/fisher NOS,73
[Legal service] or [Law occupations],74
Photographer/cameraman NOS,74
Health coach,75
Market garden worker,75
Optician NOS,75
Reservations clerk - travel,76
Product inspector/packager NOS,77
Teachers - education: [further] or [highe,77
Swimming pool attendant,77
Private dancing teacher,77
Railway signalman,78
Baggage porter,78
Other supervisor/foreman NOS,78
Manager(s): [catering] or [hotel] or [pub,78
Performer (entertainer) NOS,79
Healthcare service manager,79
Care Programme Approach care worker,79
Importer,79
Sound/vision equipment operator,80
Traffic warden,80
Farm manager,80
Masseur,80
Travel inquiry clerk,80
Clinical nurse specialist,81
Is a Young Carer,81
Electrical production fitter,81
Laboratory technician - general science,81
Local government top manager,81
Composer,81
Chemical scientist,82
Family caseworker,82
Mechanical engineer - trainee,83
Typist,83
Works/production manager NOS,83
Other metal/electrical workers,83
Exporter,83
Information clerk,83
Street trader,84
Forestry worker,84
Organisation/work study specialist,85
Signwriter,85
Chief security officer,85
Artists/sculptors,86
Undertaker,86
Inspector of taxes,86
Test engineer,86
Other practice staff,86
Food dispenser NOS,86
Staff midwife,86
Producer - entertainment,87
Mining/quarrying/well drilling,87
Woodcutting machine operator,87
Medical technician,87
Screen printer,87
Postal and courier operator - Royal Logis,87
Technologist NOS,88
Advertising manager,88
Medical laboratory technician,88
General engineering technical assistant,88
Dockworker,89
Consultant gynaecology and obstetrics,89
Director - films,89
Production control manager,89
Employment clerk,90
Supervisors-housekeeping etc.,90
Further education teacher NOS,90
Glass worker,90
Other performing/arts occupation,90
Maintainer - electrical,91
Catering supervisor NOS,91
Supervisor: production clerks,91
Textile material worker,92
Medical administrator - national,92
Electrical engineer - design,92
Gamekeeper,92
Site agent,92
Caretaker NOS,92
Waiter/waitress NOS,92
Marketing/sales executive trainee,92
Ledger clerk,92
Men's hairdresser,93
Agriculture machine operator,94
Production/materials clerk,94
Dental practitioner NOS,94
Scaffolder/stager,94
Personnel/industrial relations,95
Advertising executive,95
Cook NOS,95
Estimators/valuers/assessors,95
Miner,95
Supervisor: finance clerks,95
Producer - films,95
Driver's mate,96
Doorman,96
Horticulture nursery worker,96
Night porter,96
Electrical engineer - manager,97
Manager - wholesale distribution,97
Nursery maid,98
Pastry cook,99
Hairdresser/beautician NOS,99
Site engineer,99
Civil engineer manager,99
Midwifery sister,99
Careers/vocational officers,100
Architect - landscape,101
Laboratory technician NOS,101
Supervisor: telephone operators,101
Furniture remover,102
Casino cashier,102
Carwash worker,103
Network analyst,103
University teacher NOS,103
Statistician,104
Other materials moving/storing,104
Film production NOS,104
Public utility manager,104
"Health visitors, nurses and midwives",105
Curator museum/gallery,105
Biological scientist NOS,105
National gov't. officer NOS,105
Insurance/tax specialist,105
Estimator,106
Fashion model,106
Administrative officer - RAF,106
Professional sport occupations,106
Invoice clerk,106
Audiologist,107
Distribution manager,107
(Woodwork)(box maker)(carpen)(case maker),108
Clerk of works,108
Editor - literary,109
Textile processor,110
(Construction worker(s)) or (builder),110
Electrical installers &/or maintainers,110
Accident and emergency doctor,111
Animal health attendant,111
Manager - cleaning service,112
Stock control manager,112
Maintenance/install fitter,112
Theatre nurse,112
Travel stewards/attendants,112
Tree feller,113
Metal worker,113
Jockey,113
Administrative officer secretarial - RAF,113
Sales order clerk,113
Reporter (press/radio/t.v.),114
Maintenance technician NOS,114
Infantry soldier,115
Land surveyor,115
Residential child care worker,115
Graphic reproduction operator,115
Fisherman,115
Office manager - insurance,115
Machinery maintenance fitter,115
Mechanical plant driver,116
Maintenance technician - electrical engin,116
Driver - heavy plant,116
Telephone fitter,117
Loader,118
Food and drink processor,119
Hospital pharmacist,119
Printing machine operator,120
Dental general practitioner,120
Dental hygienist,120
Teacher trainer,120
Bookmaker,120
Telephone/mail supervisor NOS,120
Post office manager,120
Purchasing officers/buyers,121
Other technical assistants,121
Food technologist,122
Steel erector,123
Design draughtsman,123
Manager - independent retail shop,123
Instrumentalist,123
Secondary school head teacher,124
Commercial artist,124
Investment specialist,125
Professional sportsman,125
Sales supervisor NOS,126
Careers officer,126
Agricultural engineer,126
Literary/artistic/sport NOS,127
Medical administrator - hospital,127
Property sales representative,127
Minister of the crown,127
Editor - books,128
Private driving instructor,128
General secretary -trade union,129
Petrol station attendant,129
Tester - product,132
Telephonist NOS,132
Social service occupation,132
Interpreter for British sign language,132
Tool maker/fitter/marker-out,133
Insurance assessor,133
Fire officer,134
Foreign exchange clerk - banking,135
Secretaries (& [shorthand &/or typing]) o,136
Purchasing manager,136
Teacher - special education,137
Food counter hand,138
Ecologist,138
Trainee pharmacist,138
Road transport NOS,138
(Salesmen &/or shop assistants) or (shelf,139
Electric installer/maintainer NOS,139
Technology manager,140
Instructor,140
Property negotiator,141
Manager - warehousing/stock,141
Coal miner,142
Stores manager,142
Media planner,142
Rail transport occupation,143
Photographer (still camera),143
Packer - heavy goods,144
Industrial designer NOS,144
Light labourer NOS,145
Travel courier,146
Safety officer,146
Aeronautical engineer,147
Linguist/interpreter,147
Make-up artist,147
Counsel,148
Dispensing optician,148
Wages clerk,148
Methods engineer,148
Railway engine driver,149
Data processing manager,150
Surgeon,150
Domestic helper/maid NOS,151
Photographers/cameramen,152
General caretaker,152
Work study trainee,153
Osteopath,154
Heating/ventilating engineer,155
Mechanical engineer manager,155
Ground crew,156
Organisation/work study NOS,156
Community midwife,156
Boat builder,156
Independent doctor,156
Dental technician,156
Analytical chemist,157
Office machine operator,157
Other protective services,158
Foreman,158
Residential youth care worker,158
Manager - supermarket,158
Mechanic - metal,159
Other general clerk NOS,159
School children's supervisor,159
House officer,159
Food dispenser-counter service,160
Author,160
Other supervisors/foremen,161
Psychotherapist,162
Other materials processor NOS,163
Editor - newspaper/periodical,163
(Gen engin tech assistant)/(engin technic,164
National government general administrator,165
Finance and systems administrator - Adjut,165
Police sergeant,165
Nursing home attendant,165
Paediatrician,165
Mail sorter,166
Information officer,167
Supervisor - housekeeping,167
Professional association footballer,167
Child care officer,167
Head housekeeper,168
Pipe fitter,169
Railway employee,170
Religious occupations,170
Education officer,170
Manager - hairdressing/beauty,170
Insurance specialist,171
Croupier,171
Vicar,171
Dressmaker,171
Occupational analyst,171
Packagers/labellers,172
Microbiologist,173
Army personnel,173
Structural engineer,174
Valet,175
Other painters/assemblers,176
Buildings maintenance manager,179
Paediatric nurse,180
Supervisor - cleaners,182
Community nurse,182
Gardener/groundsman NOS,183
General chemist,183
Wholesale sales representative,183
Biologist,183
Vocational trainer,184
Physician,184
Hospital registrar,185
Actuary,186
Fitter/maintainer/mechanic NOS,186
Gardener - private gardens,186
Youth leader,187
Storekeeper,190
Tax consultant,190
Property/estate manager,191
Civil engineer - design,191
Town planner,193
Research fellow,193
Manager public/club restaurant,194
Horticultural worker,194
Assistant cook,194
Bread baker,197
Geologist,199
Nursing assistant,200
Technologist,201
Hospital porter,201
Audit clerk,201
Packer - textiles,202
Shop manager &/or store manager (& [retai,203
Floor/wall tiler,203
Architectural technician,203
Crane driver/operator,203
Office manager NOS,204
Mechanical engineer - design,206
Gas fitter,206
Consultant surgeon,207
Supervisor of clerks,207
Other materials processors,207
Metal &/or electrical workers,207
Draughtsman,208
Barman/barmaid NOS,208
Receiving shop assistant,208
Construction worker NOS,209
Technical assistant,209
Tiler,210
Jeweller,210
Police/prison/fire officer NOS,210
Stock control clerk,212
Top manager - business NOS,213
Security manager,214
Teacher training teacher,214
Post office counter clerk,217
Clinical psychologist,217
Steel worker,218
Assemblers,218
Research chemist,218
Diagnostic radiographer,218
Registrar-birth/death/marriage,218
Sewing machinist,220
Roofer/slater,221
Manager - licensed hotel/club,221
Technical service advisor,221
Director/producer/manager NOS,222
Supervisor - catering,222
Office cashier,223
Large machinery/plant work,223
Sheet metal worker,223
Tailor,223
Primary school head teacher,223
Podiatrist,224
State enrolled nurse,224
Student midwife,224
Cabinet maker,228
Animal health occupations,228
Horse attendant,230
Food processor,231
Accountant NOS,233
Chemical engineer,234
Professional counsellor,234
Gardeners/groundsmen,234
Environmental health officer,236
Milkman,236
Costing/accounting clerk NOS,239
Senior police officer,240
Medical practitioners NOS,240
Works manager,241
Quality control engineer,242
Police/prison/fire officers,243
Kitchen porters/hands,243
Glazier,244
Secretary shorthand typist,244
Library assistant,245
Standards engineer,246
General nurse,247
Stockbroker,248
Pre-primary teacher,250
Head barman,251
Funeral director,251
Upholsterer,252
Surveyor NOS,252
Physical training teacher,253
Data processing operator,254
Business - top men,255
Performers (entertainment),255
Office manager -credit control,255
Community mental health nurse,257
Secretary:shorthand/typing NOS,259
Caretaker/cleaner,260
Retail buyer,261
System analyst/computer programmer NOS,261
Other management support NOS,262
Service occupations NOS,263
Welfare occupation NOS,264
Archaeologist,266
Directors/producers/managers,266
Woodworker,267
Mechanical truck driver,268
Headmaster,271
Anaesthetist,272
Private tutor,275
Natural gas engineer,276
General farm worker NOS,277
Records clerk,277
Consultant physician,278
Product assembler,279
Costing &/or accounting clerks,282
Electrical engineer NOS,282
Biochemist,282
Biological scientists and biochemists,283
Electronics engineer,284
Painters/coaters,284
Works/production manager,284
Economist,285
Transport occupations,287
Priest,291
Practice manager,292
Civil engineer NOS,294
Marketing/sales executive NOS,295
Security services occupation,297
"Farmer, unspecified",298
Advertising/public relations,298
Investment advisor,298
Producer - radio/t.v.,299
Coach driver,299
Chef - gourmet fare,301
Hospital nurse,302
Public relations officer,303
Bar waiter,304
School helper,305
Other maker/repairer NOS,305
Private music teacher,306
Manager cafe restaurant,306
Mechanical engineer NOS,306
Cooks &/or chefs,308
Pilot - aircraft,310
Legal service NOS,312
Engineer maintenance manager,313
Other machinery worker NOS,314
Dental issues,315
Investment analyst,318
(Management support NOS) or (civil servan,318
Finance/investment/insurance clerk NOS,320
Finance &/or investment &/or insurance cl,321
Messenger,322
Electrician - plant/machinery,322
Broker,322
Musical performer,325
Technical engineer,326
Cash handling clerk,328
Heating engineer,328
Handyman,329
Engineering technician,330
